compound,negative,neutral,positive
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.636,0.0,0.417,0.583
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5088,0.07,0.93,0.0
0.4404,0.0,0.674,0.326
0.0,0.0,1.0,0.0
-0.184,0.274,0.469,0.257
-0.1027,0.219,0.781,0.0
0.0,0.0,1.0,0.0
0.8957,0.0,0.707,0.293
0.4588,0.067,0.782,0.151
-0.5994,0.145,0.855,0.0
-0.4253,0.142,0.772,0.086
0.404,0.215,0.532,0.253
-0.25,0.167,0.833,0.0
0.0772,0.291,0.464,0.245
0.6696,0.0,0.64,0.36
-0.52,0.142,0.797,0.061
-0.5532,0.184,0.709,0.107
-0.3612,0.238,0.762,0.0
0.0,0.0,1.0,0.0
0.0516,0.08,0.833,0.086
-0.5086,0.222,0.778,0.0
0.0,0.0,1.0,0.0
0.758,0.0,0.737,0.263
0.6716,0.0,0.702,0.298
0.0,0.0,1.0,0.0
-0.296,0.306,0.694,0.0
-0.25,0.158,0.737,0.105
-0.4199,0.117,0.883,0.0
0.5719,0.0,0.684,0.316
0.7887,0.0,0.697,0.303
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4912,0.26,0.635,0.106
0.0,0.0,1.0,0.0
0.4215,0.0,0.263,0.737
0.0,0.0,1.0,0.0
-0.1426,0.106,0.75,0.144
0.0,0.0,1.0,0.0
-0.6808,0.395,0.494,0.111
-0.4215,0.203,0.797,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.167,0.833,0.0
0.0,0.0,1.0,0.0
-0.4389,0.162,0.838,0.0
0.34,0.0,0.888,0.112
-0.34,0.545,0.455,0.0
0.0,0.0,1.0,0.0
-0.802,0.732,0.268,0.0
-0.34,0.375,0.625,0.0
0.0,0.0,1.0,0.0
-0.5994,0.326,0.571,0.103
0.743,0.0,0.656,0.344
0.34,0.0,0.943,0.057
0.0,0.0,1.0,0.0
0.8481,0.135,0.507,0.357
0.4404,0.0,0.923,0.077
0.9246,0.057,0.525,0.417
0.0,0.0,1.0,0.0
-0.561,0.232,0.768,0.0
-0.3182,0.119,0.809,0.072
0.0,0.0,1.0,0.0
-0.128,0.107,0.766,0.126
0.6682,0.0,0.758,0.242
-0.296,0.268,0.732,0.0
0.7184,0.0,0.818,0.182
