compound,negative,neutral,positive
0.7579,0.0,0.629,0.371
0.7506,0.0,0.598,0.402
0.0,0.0,1.0,0.0
-0.5622,0.367,0.633,0.0
-0.1759,0.124,0.876,0.0
0.4263,0.0,0.761,0.239
-0.1901,0.241,0.543,0.216
0.4939,0.0,0.652,0.348
0.5972,0.0,0.643,0.357
-0.6707,0.219,0.707,0.074
-0.4588,0.095,0.905,0.0
0.1531,0.121,0.731,0.148
0.6908,0.0,0.345,0.655
0.6656,0.0,0.704,0.296
0.5994,0.0,0.588,0.412
-0.6249,0.204,0.796,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.476,0.524
0.0,0.0,1.0,0.0
-0.7684,0.27,0.654,0.076
0.0,0.0,1.0,0.0
0.5023,0.115,0.702,0.183
0.5118,0.058,0.806,0.136
-0.6486,0.135,0.865,0.0
-0.0015,0.046,0.907,0.046
0.926,0.07,0.573,0.357
0.0346,0.094,0.829,0.077
0.0,0.0,1.0,0.0
0.2905,0.092,0.775,0.133
0.5562,0.0,0.881,0.119
0.5719,0.05,0.747,0.203
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.8126,0.211,0.789,0.0
0.0202,0.18,0.672,0.148
0.7345,0.062,0.747,0.19
-0.4574,0.177,0.68,0.143
0.9358,0.036,0.704,0.26
0.0,0.0,1.0,0.0
-0.7351,0.323,0.677,0.0
-0.34,0.179,0.821,0.0
0.0,0.0,1.0,0.0
0.3612,0.15,0.651,0.199
0.0772,0.0,0.822,0.178
0.7345,0.0,0.819,0.181
0.0,0.0,1.0,0.0
0.5574,0.126,0.549,0.324
0.6249,0.0,0.282,0.718
0.4215,0.0,0.936,0.064
-0.3597,0.294,0.706,0.0
0.8268,0.0,0.438,0.562
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.368,0.0,0.283,0.717
0.8126,0.0,0.641,0.359
0.3818,0.21,0.516,0.274
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7061,0.0,0.616,0.384
0.4926,0.0,0.653,0.347
0.5423,0.0,0.78,0.22
0.4753,0.0,0.795,0.205
-0.1027,0.225,0.58,0.196
0.0,0.0,1.0,0.0
0.1531,0.0,0.862,0.138
0.4767,0.102,0.691,0.207
0.5574,0.0,0.874,0.126
