compound,negative,neutral,positive
0.5574,0.0,0.816,0.184
0.4201,0.0,0.859,0.141
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.707,0.293
0.705,0.125,0.484,0.391
0.1779,0.075,0.805,0.119
0.5574,0.0,0.581,0.419
0.4019,0.0,0.654,0.346
0.0,0.0,1.0,0.0
0.4019,0.174,0.571,0.255
0.0,0.0,1.0,0.0
0.5053,0.249,0.276,0.475
0.0,0.0,1.0,0.0
0.1531,0.0,0.89,0.11
0.5204,0.0,0.908,0.092
-0.2263,0.199,0.662,0.139
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4939,0.103,0.897,0.0
0.4019,0.0,0.722,0.278
0.1531,0.0,0.904,0.096
0.3182,0.0,0.85,0.15
0.5267,0.0,0.787,0.213
0.0,0.0,1.0,0.0
-0.4588,0.2,0.8,0.0
0.5423,0.0,0.759,0.241
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6696,0.0,0.686,0.314
0.5255,0.0,0.845,0.155
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4939,0.0,0.913,0.087
0.0,0.0,1.0,0.0
0.7688,0.0,0.829,0.171
0.0,0.0,1.0,0.0
-0.5423,0.31,0.69,0.0
0.4767,0.0,0.829,0.171
0.1531,0.0,0.946,0.054
-0.0516,0.085,0.915,0.0
0.0258,0.0,0.916,0.084
0.9217,0.0,0.72,0.28
0.0,0.0,1.0,0.0
-0.6369,0.159,0.784,0.056
0.0516,0.098,0.794,0.107
0.7293,0.0,0.529,0.471
0.0,0.0,1.0,0.0
0.4404,0.0,0.58,0.42
0.0,0.0,1.0,0.0
0.4926,0.0,0.904,0.096
0.4019,0.131,0.621,0.248
-0.3595,0.172,0.828,0.0
0.6705,0.0,0.723,0.277
0.6597,0.0,0.886,0.114
0.8481,0.0,0.792,0.208
0.0258,0.054,0.889,0.057
-0.624,0.188,0.812,0.0
-0.34,0.146,0.854,0.0
-0.1333,0.08,0.849,0.071
-0.5574,0.303,0.585,0.112
0.4767,0.168,0.438,0.394
-0.4003,0.402,0.598,0.0
-0.5423,0.226,0.774,0.0
0.3182,0.0,0.87,0.13
-0.252,0.133,0.781,0.085
-0.5719,0.139,0.861,0.0
0.0,0.0,1.0,0.0
0.5719,0.0,0.213,0.787
0.0,0.0,1.0,0.0
0.6486,0.0,0.868,0.132
0.7738,0.0,0.842,0.158
-0.126,0.07,0.871,0.059
0.4753,0.0,0.393,0.607
0.8981,0.089,0.645,0.266
0.4019,0.0,0.847,0.153
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5267,0.09,0.874,0.036
-0.1953,0.106,0.821,0.073
