compound,negative,neutral,positive
0.3182,0.0,0.303,0.697
0.7096,0.0,0.604,0.396
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.8402,0.8,0.2,0.0
-0.6706,0.474,0.526,0.0
0.0258,0.242,0.505,0.253
-0.4389,0.325,0.675,0.0
0.3182,0.0,0.813,0.187
0.6369,0.0,0.53,0.47
0.0,0.0,1.0,0.0
0.7912,0.0,0.307,0.693
0.0,0.0,1.0,0.0
0.25,0.297,0.27,0.432
0.2411,0.0,0.605,0.395
-0.1007,0.102,0.817,0.082
0.0,0.0,1.0,0.0
0.296,0.37,0.0,0.63
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.465,0.535
0.0,0.0,1.0,0.0
0.8225,0.0,0.317,0.683
0.0,0.0,1.0,0.0
0.4215,0.0,0.588,0.412
0.743,0.0,0.76,0.24
0.3802,0.037,0.873,0.09
0.1531,0.225,0.507,0.268
0.0,0.0,1.0,0.0
0.4404,0.0,0.508,0.492
-0.5423,0.368,0.632,0.0
-0.3182,0.277,0.723,0.0
0.6239,0.0,0.729,0.271
-0.1531,0.176,0.682,0.142
-0.5423,0.412,0.588,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.0,0.656,0.344
0.7096,0.0,0.67,0.33
-0.4588,0.333,0.667,0.0
0.7568,0.0,0.316,0.684
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1027,0.22,0.6,0.18
0.3612,0.0,0.783,0.217
0.5574,0.0,0.66,0.34
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0516,0.13,0.87,0.0
-0.5574,0.274,0.62,0.106
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1739,0.175,0.605,0.221
-0.4215,0.483,0.517,0.0
-0.5423,0.259,0.741,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8225,0.102,0.614,0.283
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.431,0.0,0.513,0.487
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5719,0.0,0.654,0.346
0.5267,0.0,0.577,0.423
0.7003,0.0,0.341,0.659
0.5859,0.0,0.345,0.655
0.8047,0.0,0.788,0.212
-0.126,0.222,0.593,0.185
0.0,0.0,1.0,0.0
0.2057,0.0,0.878,0.122
0.0,0.0,1.0,0.0
-0.4939,0.262,0.738,0.0
0.2411,0.0,0.754,0.246
0.5719,0.0,0.684,0.316
0.0,0.0,1.0,0.0
-0.1531,0.169,0.691,0.14
0.5267,0.175,0.5,0.325
0.136,0.0,0.907,0.093
0.0,0.0,1.0,0.0
0.5279,0.0,0.731,0.269
0.8779,0.0,0.653,0.347
0.0,0.0,1.0,0.0
0.3182,0.0,0.566,0.434
0.3716,0.116,0.582,0.302
0.4574,0.234,0.213,0.553
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5719,0.0,0.575,0.425
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2942,0.0,0.578,0.422
0.3182,0.0,0.753,0.247
