compound,negative,neutral,positive
0.0,0.0,1.0,0.0
-0.296,0.167,0.833,0.0
0.5719,0.0,0.749,0.251
0.9081,0.0,0.533,0.467
-0.5423,0.636,0.364,0.0
0.0,0.0,1.0,0.0
-0.5399,0.367,0.633,0.0
-0.8922,0.191,0.809,0.0
0.7269,0.0,0.141,0.859
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.545,0.455
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1531,0.109,0.747,0.144
0.0,0.0,1.0,0.0
0.0503,0.126,0.731,0.142
0.7678,0.0,0.415,0.585
0.0,0.0,1.0,0.0
0.2732,0.0,0.588,0.412
0.4926,0.0,0.79,0.21
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4019,0.099,0.661,0.24
0.3612,0.0,0.783,0.217
-0.2387,0.163,0.837,0.0
-0.4404,0.195,0.805,0.0
-0.3818,0.464,0.536,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6239,0.0,0.494,0.506
-0.5229,0.206,0.794,0.0
0.6486,0.0,0.43,0.57
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3252,0.318,0.682,0.0
0.0,0.0,1.0,0.0
-0.4168,0.481,0.519,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.798,0.202
-0.4389,0.591,0.409,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5267,0.0,0.638,0.362
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2755,0.26,0.74,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0772,0.0,0.944,0.056
0.0,0.0,1.0,0.0
0.6689,0.0,0.572,0.428
-0.3818,0.245,0.755,0.0
-0.296,0.239,0.761,0.0
0.0,0.0,1.0,0.0
0.4767,0.0,0.549,0.451
-0.1779,0.234,0.584,0.182
0.0,0.0,1.0,0.0
0.3382,0.0,0.455,0.545
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3818,0.139,0.602,0.259
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7351,0.0,0.446,0.554
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6776,0.059,0.741,0.2
0.0,0.0,1.0,0.0
-0.5423,0.636,0.364,0.0
-0.5423,0.538,0.462,0.0
0.2244,0.0,0.873,0.127
0.0,0.0,1.0,0.0
-0.6408,0.458,0.542,0.0
0.7003,0.0,0.721,0.279
0.0,0.0,1.0,0.0
0.7777,0.038,0.769,0.192
-0.3818,0.565,0.435,0.0
0.34,0.0,0.294,0.706
-0.7185,0.625,0.375,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6808,0.0,0.517,0.483
0.5932,0.0,0.778,0.222
0.0,0.0,1.0,0.0
0.4767,0.0,0.795,0.205
0.0,0.0,1.0,0.0
0.4754,0.0,0.781,0.219
0.296,0.0,0.761,0.239
0.3612,0.0,0.737,0.263
0.2732,0.0,0.741,0.259
0.0,0.0,1.0,0.0
0.5106,0.0,0.476,0.524
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7717,0.0,0.309,0.691
