compound,negative,neutral,positive
0.4927,0.0,0.814,0.186
0.0,0.0,1.0,0.0
0.486,0.073,0.833,0.095
0.6322,0.083,0.631,0.286
0.7506,0.0,0.632,0.368
0.0,0.0,1.0,0.0
0.3182,0.0,0.827,0.173
-0.34,0.07,0.93,0.0
0.4015,0.0,0.948,0.052
-0.6319,0.181,0.75,0.07
0.0,0.0,1.0,0.0
-0.69,0.178,0.822,0.0
0.6124,0.0,0.792,0.208
0.4404,0.0,0.925,0.075
-0.3595,0.128,0.872,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0155,0.071,0.856,0.073
0.8126,0.0,0.455,0.545
0.0,0.0,1.0,0.0
0.6249,0.0,0.918,0.082
0.0,0.0,1.0,0.0
-0.3597,0.2,0.8,0.0
0.3595,0.103,0.746,0.151
0.5267,0.099,0.702,0.199
0.7717,0.08,0.648,0.272
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0408,0.113,0.8,0.087
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0258,0.216,0.784,0.0
-0.6844,0.367,0.633,0.0
-0.0644,0.121,0.74,0.139
0.6369,0.0,0.826,0.174
0.128,0.0,0.951,0.049
0.0,0.0,1.0,0.0
-0.577,0.187,0.813,0.0
0.2023,0.0,0.904,0.096
-0.1779,0.256,0.543,0.202
0.0,0.0,1.0,0.0
-0.1882,0.068,0.898,0.034
0.7353,0.069,0.773,0.158
0.8477,0.096,0.637,0.268
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6597,0.643,0.357,0.0
0.2942,0.099,0.813,0.087
0.2225,0.114,0.721,0.166
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8412,0.0,0.775,0.225
-0.6696,0.29,0.71,0.0
0.6369,0.058,0.804,0.138
0.648,0.073,0.761,0.166
0.0,0.0,1.0,0.0
-0.3919,0.074,0.926,0.0
0.7717,0.049,0.782,0.169
0.0,0.0,1.0,0.0
-0.2263,0.114,0.813,0.073
0.0,0.0,1.0,0.0
0.4019,0.0,0.92,0.08
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6759,0.17,0.797,0.033
-0.9489,0.365,0.529,0.106
-0.5423,0.163,0.715,0.121
-0.3182,0.122,0.814,0.064
0.4404,0.0,0.892,0.108
0.5719,0.0,0.709,0.291
-0.0258,0.161,0.68,0.159
0.802,0.0,0.357,0.643
-0.0772,1.0,0.0,0.0
-0.3818,0.133,0.867,0.0
-0.6288,0.268,0.547,0.185
-0.296,0.18,0.82,0.0
0.0,0.0,1.0,0.0
-0.6808,0.255,0.657,0.088
0.0,0.0,1.0,0.0
-0.128,0.101,0.81,0.09
0.835,0.0,0.732,0.268
0.0,0.0,1.0,0.0
-0.75,0.21,0.79,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6705,0.524,0.476,0.0
0.0,0.0,1.0,0.0
0.7143,0.081,0.607,0.312
0.4939,0.048,0.811,0.14
0.3802,0.0,0.947,0.053
0.6249,0.0,0.728,0.272
0.0772,0.0,0.966,0.034
0.128,0.15,0.708,0.142
0.3612,0.0,0.667,0.333
0.09,0.091,0.798,0.111
0.0,0.0,1.0,0.0
0.1615,0.053,0.879,0.068
-0.2851,0.076,0.887,0.038
-0.1531,0.187,0.663,0.151
0.6369,0.0,0.323,0.677
0.25,0.15,0.654,0.196
-0.2023,0.237,0.603,0.159
0.6557,0.131,0.598,0.272
-0.0772,0.154,0.713,0.132
-0.4215,0.138,0.773,0.088
-0.2484,0.09,0.847,0.064
0.0,0.0,1.0,0.0
0.0772,0.274,0.421,0.305
0.7178,0.101,0.616,0.282
0.6369,0.07,0.743,0.187
0.2263,0.086,0.784,0.131
0.5994,0.0,0.755,0.245
-0.296,0.179,0.725,0.096
-0.7686,0.221,0.779,0.0
0.7289,0.031,0.815,0.154
0.6808,0.038,0.833,0.129
0.7506,0.0,0.67,0.33
0.5859,0.0,0.612,0.388
0.7313,0.0,0.85,0.15
-0.5093,0.268,0.732,0.0
-0.1027,0.18,0.648,0.172
0.0,0.0,1.0,0.0
0.5719,0.0,0.448,0.552
-0.8182,0.155,0.809,0.036
0.0,0.0,1.0,0.0
-0.34,0.337,0.407,0.256
0.8104,0.0,0.859,0.141
0.9192,0.0,0.734,0.266
-0.529,0.253,0.747,0.0
0.2244,0.0,0.826,0.174
-0.6124,0.208,0.722,0.069
0.25,0.177,0.565,0.258
0.38,0.172,0.63,0.198
-0.0772,0.07,0.867,0.063
0.1027,0.0,0.958,0.042
0.0,0.0,1.0,0.0
-0.1027,0.139,0.741,0.12
0.5986,0.081,0.705,0.214
0.0026,0.162,0.656,0.183
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1007,0.183,0.662,0.155
0.0,0.0,1.0,0.0
-0.7096,0.173,0.787,0.04
0.9062,0.0,0.705,0.295
0.5994,0.0,0.84,0.16
0.7579,0.0,0.711,0.289
0.5994,0.0,0.672,0.328
0.4404,0.0,0.791,0.209
0.0,0.0,1.0,0.0
0.5859,0.0,0.703,0.297
0.0,0.0,1.0,0.0
-0.7003,0.293,0.707,0.0
0.0,0.0,1.0,0.0
0.7341,0.0,0.85,0.15
-0.8402,0.333,0.667,0.0
0.3818,0.058,0.816,0.126
0.3612,0.0,0.667,0.333
0.0644,0.0,0.906,0.094
0.0516,0.235,0.51,0.255
0.3261,0.058,0.846,0.096
0.0,0.0,1.0,0.0
0.5106,0.0,0.0,1.0
0.0,0.0,1.0,0.0
-0.6155,0.179,0.709,0.112
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5267,0.038,0.793,0.168
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4201,0.0,0.851,0.149
-0.1531,0.105,0.811,0.084
-0.5256,0.629,0.371,0.0
0.4897,0.088,0.76,0.152
-0.0387,0.081,0.919,0.0
0.93,0.039,0.69,0.271
-0.802,0.31,0.69,0.0
0.1431,0.099,0.78,0.122
-0.3612,0.2,0.8,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.912,0.088
0.4964,0.114,0.648,0.238
-0.1776,0.148,0.668,0.183
0.0,0.0,1.0,0.0
0.2534,0.171,0.641,0.188
0.4019,0.076,0.756,0.168
0.6124,0.0,0.853,0.147
0.8908,0.0,0.78,0.22
-0.4939,0.211,0.789,0.0
-0.0387,0.151,0.733,0.116
0.2732,0.0,0.811,0.189
0.7964,0.0,0.597,0.403
0.6759,0.0,0.913,0.087
0.0,0.0,1.0,0.0
-0.6027,0.204,0.693,0.104
-0.8467,0.208,0.724,0.068
-0.5661,0.22,0.78,0.0
-0.5267,0.065,0.935,0.0
-0.1894,0.142,0.73,0.129
0.6131,0.102,0.736,0.162
0.34,0.0,0.876,0.124
0.5996,0.115,0.667,0.219
0.0,0.0,1.0,0.0
0.2691,0.055,0.828,0.117
0.4497,0.0,0.924,0.076
0.0,0.0,1.0,0.0
0.8577,0.132,0.578,0.29
-0.2732,0.208,0.792,0.0
-0.714,0.398,0.602,0.0
0.9118,0.0,0.763,0.237
0.4753,0.1,0.647,0.253
0.0,0.0,1.0,0.0
-0.7506,0.314,0.686,0.0
-0.296,0.095,0.905,0.0
0.6199,0.0,0.596,0.404
0.3944,0.0,0.823,0.177
-0.0516,0.117,0.777,0.107
-0.4588,0.2,0.8,0.0
0.8625,0.0,0.685,0.315
0.7783,0.105,0.37,0.525
0.25,0.0,0.905,0.095
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6597,0.13,0.472,0.398
-0.552,0.337,0.663,0.0
0.2716,0.0,0.89,0.11
0.4688,0.0,0.931,0.069
0.0,0.0,1.0,0.0
-0.4767,0.341,0.659,0.0
0.8934,0.085,0.635,0.279
-0.4767,0.22,0.78,0.0
0.3182,0.0,0.753,0.247
0.5267,0.082,0.709,0.209
0.0,0.0,1.0,0.0
-0.6249,0.151,0.849,0.0
0.5859,0.0,0.817,0.183
0.7424,0.091,0.65,0.26
-0.4767,0.124,0.876,0.0
0.0,0.0,1.0,0.0
0.0289,0.206,0.646,0.149
0.5106,0.0,0.708,0.292
-0.8752,0.231,0.692,0.077
0.5267,0.069,0.818,0.113
-0.6597,0.286,0.714,0.0
0.6124,0.086,0.695,0.219
-0.4939,0.16,0.84,0.0
