compound,negative,neutral,positive
-0.1531,0.167,0.833,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.128,0.177,0.68,0.143
0.5719,0.0,0.519,0.481
0.8519,0.0,0.795,0.205
-0.6486,0.264,0.736,0.0
-0.7227,0.297,0.613,0.09
0.0,0.0,1.0,0.0
0.0258,0.177,0.633,0.19
0.5386,0.0,0.573,0.427
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.685,0.315
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3382,0.0,0.455,0.545
-0.5667,0.55,0.45,0.0
0.4019,0.0,0.722,0.278
-0.1761,0.297,0.703,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0397,0.193,0.551,0.256
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7767,0.0,0.737,0.263
0.0772,0.0,0.885,0.115
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5859,0.375,0.625,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5994,0.565,0.435,0.0
-0.4939,0.473,0.27,0.257
0.5106,0.0,0.548,0.452
0.0,0.0,1.0,0.0
0.5859,0.0,0.568,0.432
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4389,0.42,0.58,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3612,0.231,0.661,0.107
0.0,0.0,1.0,0.0
0.34,0.0,0.714,0.286
0.0,0.0,1.0,0.0
0.7227,0.0,0.735,0.265
0.0,0.0,1.0,0.0
0.6486,0.125,0.688,0.187
0.0,0.0,1.0,0.0
0.3802,0.082,0.785,0.134
0.3612,0.151,0.538,0.312
0.8338,0.0,0.671,0.329
0.0,0.0,1.0,0.0
0.3182,0.0,0.723,0.277
0.6636,0.087,0.756,0.157
0.0,0.0,1.0,0.0
-0.5423,0.636,0.364,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1779,0.195,0.566,0.239
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5994,0.661,0.339,0.0
0.1901,0.0,0.821,0.179
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4404,0.293,0.707,0.0
-0.6841,0.537,0.463,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1352,0.269,0.515,0.216
0.0,0.0,1.0,0.0
0.743,0.0,0.241,0.759
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4588,0.333,0.667,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4389,0.591,0.409,0.0
0.1154,0.0,0.954,0.046
0.0,0.0,1.0,0.0
-0.5053,0.24,0.595,0.165
-0.6588,0.375,0.625,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7579,0.0,0.571,0.429
0.7096,0.0,0.337,0.663
0.0,0.0,1.0,0.0
0.6238,0.106,0.615,0.279
0.0,0.0,1.0,0.0
-0.4939,0.231,0.646,0.122
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.636,0.677,0.323,0.0
0.3182,0.0,0.723,0.277
0.5859,0.0,0.725,0.275
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.777,0.223
0.5859,0.0,0.568,0.432
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
0.7401,0.0,0.561,0.439
0.0,0.0,1.0,0.0
0.5859,0.0,0.441,0.559
-0.2023,0.33,0.426,0.245
-0.5423,0.538,0.462,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7345,0.0,0.492,0.508
0.802,0.0,0.687,0.313
0.0,0.0,1.0,0.0
0.7269,0.0,0.724,0.276
0.7269,0.0,0.697,0.303
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.874,0.126
0.7264,0.0,0.681,0.319
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5719,0.0,0.734,0.266
-0.6124,0.667,0.333,0.0
0.0,0.0,1.0,0.0
0.2023,0.0,0.735,0.265
0.0,0.0,1.0,0.0
-0.34,0.706,0.294,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.69,0.0,0.584,0.416
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.754,0.246
0.698,0.0,0.675,0.325
-0.5423,0.2,0.8,0.0
0.0,0.0,1.0,0.0
0.1739,0.239,0.459,0.302
0.3818,0.0,0.658,0.342
0.6705,0.0,0.686,0.314
0.8519,0.0,0.177,0.823
0.6705,0.0,0.621,0.379
0.0,0.0,1.0,0.0
-0.3818,0.431,0.392,0.176
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2263,0.213,0.787,0.0
0.0,0.0,1.0,0.0
0.802,0.0,0.461,0.539
-0.4215,0.157,0.843,0.0
0.0,0.0,1.0,0.0
-0.2942,0.196,0.804,0.0
0.0,0.0,1.0,0.0
-0.7717,0.427,0.573,0.0
0.0,0.0,1.0,0.0
0.2263,0.0,0.612,0.388
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.0,0.476,0.524
0.7418,0.0,0.69,0.31
0.5859,0.0,0.568,0.432
0.128,0.394,0.141,0.465
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.345,0.655
0.8201,0.0,0.544,0.456
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8201,0.0,0.745,0.255
0.1779,0.223,0.446,0.331
0.5859,0.0,0.612,0.388
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.513,0.487
0.0258,0.206,0.584,0.21
0.0,0.0,1.0,0.0
0.6486,0.0,0.762,0.238
0.6901,0.0,0.839,0.161
-0.4767,0.22,0.78,0.0
0.0,0.0,1.0,0.0
0.8765,0.0,0.59,0.41
0.4404,0.0,0.642,0.358
0.5859,0.0,0.513,0.487
-0.1531,0.246,0.556,0.198
-0.4717,0.339,0.661,0.0
0.5187,0.047,0.8,0.153
0.0,0.0,1.0,0.0
-0.3612,0.333,0.667,0.0
0.0,0.0,1.0,0.0
0.431,0.0,0.584,0.416
0.0,0.0,1.0,0.0
-0.4767,0.508,0.492,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.612,0.388
-0.4215,0.318,0.682,0.0
-0.7351,0.408,0.592,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3182,0.161,0.839,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6369,0.839,0.161,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2748,0.165,0.608,0.227
0.4588,0.0,0.5,0.5
0.0,0.0,1.0,0.0
-0.1027,0.104,0.896,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6486,0.431,0.569,0.0
0.0,0.0,1.0,0.0
0.3182,0.0,0.813,0.187
-0.9275,0.298,0.702,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5228,0.0,0.748,0.252
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3818,0.464,0.536,0.0
0.2263,0.0,0.808,0.192
-0.4199,0.122,0.878,0.0
0.5859,0.0,0.648,0.352
0.5859,0.0,0.345,0.655
-0.5267,0.227,0.773,0.0
0.0,0.0,1.0,0.0
-0.8718,0.497,0.503,0.0
0.7424,0.0,0.443,0.557
-0.4404,0.293,0.707,0.0
0.0,0.0,1.0,0.0
0.2225,0.302,0.275,0.423
0.4939,0.0,0.488,0.512
-0.0258,0.126,0.754,0.121
-0.1531,0.615,0.385,0.0
0.0,0.0,1.0,0.0
0.6597,0.0,0.156,0.844
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3412,0.286,0.714,0.0
0.0,0.0,1.0,0.0
0.0516,0.39,0.205,0.404
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5562,0.0,0.455,0.545
0.0,0.0,1.0,0.0
0.4404,0.0,0.58,0.42
-0.1027,0.128,0.76,0.112
0.0,0.0,1.0,0.0
-0.4754,0.508,0.492,0.0
0.5106,0.0,0.476,0.524
0.0,0.0,1.0,0.0
0.5423,0.0,0.632,0.368
0.0,0.0,1.0,0.0
-0.52,0.184,0.696,0.12
0.0772,0.0,0.822,0.178
0.0,0.0,1.0,0.0
0.7717,0.0,0.309,0.691
0.802,0.0,0.109,0.891
0.0,0.0,1.0,0.0
-0.2593,0.183,0.681,0.136
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4404,0.0,0.633,0.367
-0.8402,0.471,0.529,0.0
-0.6124,0.667,0.333,0.0
0.34,0.0,0.789,0.211
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7783,0.0,0.424,0.576
-0.2971,0.263,0.737,0.0
0.0,0.0,1.0,0.0
-0.0129,0.196,0.613,0.19
-0.4215,0.483,0.517,0.0
0.3818,0.0,0.435,0.565
0.0,0.0,1.0,0.0
