username,content,date,userlocation,likecount,retweetcount,followers,url
WiktorKogut1,"Wojtek zapal se przed meczem ze Szwecją, bo to jak każdy widział przynosi pozytywne efekty. #ESPPOL  #SWEPOL https://t.co/mlfeL4kfqy",2021-06-20 22:16:20+00:00,Polska,2,0,4,https://twitter.com/WiktorKogut1/status/1406737707741683718
Konrad_Sawicki,"Możecie mi wierzyć lub nie, ale wczoraj wieczorem naprawdę obstawiałem wynik 1-1...
A ten tekst serdecznie polecam. 
#ESPPOL 
https://t.co/QqmNU2dUBO",2021-06-20 21:05:26+00:00,"Warsaw, Poland",1,0,1328,https://twitter.com/Konrad_Sawicki/status/1406719867005423622
Nooofuckingway,"Jest tu ktoś kto umie hiszpański ?
#TwitteroweKsiazkary #tweetme #ESPPOL",2021-06-20 21:03:36+00:00,Beacon Hills,0,0,3346,https://twitter.com/Nooofuckingway/status/1406719404939878408
Kameleon7119,"#ESPPOL #MocEuro 
Tymczasem w Hiszpanii przepychają się w studio, żeby pokazać jak Laporte powinien się zachować przy golu Lewego 😂 https://t.co/zda53CzbuF",2021-06-20 21:01:35+00:00,"Wielkopolskie, Polska",0,0,38,https://twitter.com/Kameleon7119/status/1406718898276388868
Ozi89631710,Po dobrym meczu z Hiszpanią sie należy 😂😂#POLSWE #ESPPOL  #SZCZĘSNY https://t.co/31PuXGQxc0,2021-06-20 20:51:21+00:00,,66,1,108,https://twitter.com/Ozi89631710/status/1406716321568628737
k_koltowski,"Walka trwa, ale on już jest wielki
#POL #strefaeuro #EURO2020 #ESPPOL #ESP #Sousa https://t.co/8nMV0CYu4O",2021-06-20 20:50:28+00:00,,1,0,71,https://twitter.com/k_koltowski/status/1406716099748630531
JakubCiapa,"piłka nożna w Polsce bedzie sportem narodowym i nic tego nie zmieni

dziwi mnie tylko ze mamy tak slaba lige
Na Ukrainie nie jest kolorowo a ich pilka klubowa to zdecydowanie level wyzej

#ESPPOL #gramydokonca",2021-06-20 20:34:49+00:00,,0,0,31,https://twitter.com/JakubCiapa/status/1406712160093343749
hazzaoops1d,To jest bohater to jest krul #ESPPOL https://t.co/u28Sw1CxyQ,2021-06-20 20:02:37+00:00,,13,1,2133,https://twitter.com/hazzaoops1d/status/1406704059231440909
dzonykot,"chce ktoś ze mną i kornelia zagrać w chińczyka? 
#ESPPOL #studia2021 #AlcoholFree #OURSONG #wywiadzkpoperami #Elite4 #kaczynski",2021-06-20 20:02:30+00:00,she/her,1,0,2883,https://twitter.com/dzonykot/status/1406704028092862466
MichalMoch87,"Dogryweczka. 

#EUROtrop #euro #EURO2020 #ESPPOL #HISPOL #Sevilla #Seville https://t.co/784i7bnOKg",2021-06-20 19:56:13+00:00,Ireland,9,0,2300,https://twitter.com/MichalMoch87/status/1406702448618659842
PLCarolineMJ,Czy jest tutaj ktoś kto ogarnia macierze i pomógłby z napisaniem kolokwium? Jestem gotowa zapłacić 😩😩😩 #studia Japierdole Tragedia Maaneskin #help #ESPPOL Miłego #tweetme,2021-06-20 19:39:48+00:00,"Śląskie, Polska",0,0,24,https://twitter.com/PLCarolineMJ/status/1406698317250281475
bulkimaslane,wie ktoś czy można gdzieś obejrzeć archiwalne mecze z np 2008 Borussii Dortmund? #ESPPOL #PORGER #ENGSCO #EURO2020 #BVB,2021-06-20 19:23:18+00:00,,0,0,237,https://twitter.com/bulkimaslane/status/1406694163635113986
