username,content,date,userlocation,likecount,retweetcount,followers,url
TomChojnacki,Na szczęście zepsuł mi się samochód i nawet nie zdążyłem się zdenerwować meczem #POLSVK,2021-06-14 23:54:19+00:00,"Warsaw, Poland",1,0,452,https://twitter.com/TomChojnacki/status/1404588042216673282
Frontowiec2,"Wybaczcie moje nocne zachowanie, ale po meczu #POLSVK wypiłem trzy piwa, ale spokojnie - zaraz pójdę spać.",2021-06-14 23:49:04+00:00,Danmark / Polska,1,0,411,https://twitter.com/Frontowiec2/status/1404586719643570178
Zbyszko666,"Dobrze, że tylko audycja radiowa była. Jest sens oglądać skrót. #euro2020 #polsvk #skrot #mecze",2021-06-14 23:48:52+00:00,Silesia,0,0,286,https://twitter.com/Zbyszko666/status/1404586667101638659
KonradBoden,"Jeszcze mecz o wszystko.
Potem mecz o honor.
I zasłużone wakacje.

#POLSVK #EURO2020",2021-06-14 23:26:30+00:00,on location,0,0,29,https://twitter.com/KonradBoden/status/1404581039171850241
marcin_skruch,"Najbardziej w #Euro2021 denerwuje mnie, że w pracy facet z którym nie gadasz nigdy o sporcie, a o piłce nożnej nie ma pojęcia, mówi ci jaki jest wynik meczu, mimo że wie o tym że masz mecz nagrany i nie chcesz znać wyniku.
Nie pozdrawiam cię Wojtek.
#UefaEuro2020 #POLSVK",2021-06-14 23:24:47+00:00,"clonmel, irlandia",1,0,151,https://twitter.com/marcin_skruch/status/1404580608316215298
ohhbarbara,Właśnie obejrzałam skrót #POLSVK… ten drugi gol dla Słowacji to jest przecież taka porażka… pięcioro ich stało na lini strzału. Jedyne co zrobili to zasłonili Wojtkowi linie strzału… masakra #POL,2021-06-14 23:20:00+00:00,"London, England",1,0,186,https://twitter.com/ohhbarbara/status/1404579402768388101
BkFilip,"Szczerze, broniłem Paulo w marcu. Ale po tym meczu i tym co robi ten sabotażysta pobłażanie mu się skończyło. Nie zgrywa zespołu i wymyśla co mecz inną taktykę i z meczu na mecz gramy coraz gorszej. Jerzy Brzęczek był lepszy trenerem. Jeszcze piłkarzeb grają strasznie. #POLSVK",2021-06-14 23:17:43+00:00,,0,0,38,https://twitter.com/BkFilip/status/1404578829679607808
KulturaFizyczna,"Michał Listkiewicz: Co z tego, że mamy najlepszego napastnika, skoro nie będziemy mieli drużyny.
#Euro2021 #euro2020 #strefaeuro #StrefaKibica 
@EURO2020 #POLSVK #POL #Polska #SVK #KulturaFizyczna",2021-06-14 23:15:03+00:00,Polska,0,0,196,https://twitter.com/KulturaFizyczna/status/1404578159148814343
KulturaFizyczna,"Kamil Jóźwiak: W reprezentacji mam lepszych partnerów. Niektórych sytuacji koledzy z @dcfcofficial nie widzą, a w reprezentacji Polski są zawodnicy z topu.
#Euro2021 #euro2020 #strefaeuro #StrefaKibica @EURO2020 #POLSVK #POL #Polska #SVK #KulturaFizyczna",2021-06-14 23:14:12+00:00,Polska,0,0,196,https://twitter.com/KulturaFizyczna/status/1404577944522080261
WincEnigma,Wódka po meczach Polski na euro wchodzi jak złoto. #POLSVK,2021-06-14 23:12:00+00:00,,0,0,841,https://twitter.com/WincEnigma/status/1404577390215434244
