username,content,date,userlocation,likecount,retweetcount,followers,url
rudek92,"POTWIERDZAM, BYŁEM DZIENNIKARZEM PRZEPROWADZAJĄCYM WYWIAD. SWOJĄ DROGĄ. EMIL BARDZO PLYNNIE MOWI PO POLSKU
#EURO2020 #SWEPOL #POLSWE #strefaeuro https://t.co/HODokPhcq6",2021-06-24 22:46:12+00:00,Chorzów,0,0,127,https://twitter.com/rudek92/status/1408194775556280327
rysia3waza,"#SWEPOL #POLSWE
Szwedzi po meczu: https://t.co/pLh8yUtWQ7",2021-06-24 21:56:41+00:00,any pronouns / ENTP / 7w8 / ♐,2,0,60,https://twitter.com/rysia3waza/status/1408182316766277644
EdnardoMonteiro,"Ja od kiedy jestem w Polsce nigdy nie widziałem takiej polskiej reprezentacji, która ma tyle posiadania piłki, która w najtrudniejszych momentach się nie poddaje i walczy do końca. Brakowało jakości ale trzeba skupić się na tym co pozytywne i pracować dalej #POLSWE",2021-06-24 21:42:54+00:00,"Breslau, Polónia",14,0,123,https://twitter.com/EdnardoMonteiro/status/1408178846885634051
djendrju87,"Przyszedł mi do głowy żart sytuacyjny typu dowcip.
- Kiedy Polska odpadnie z Euro?
- No kiedy?
- Jak przyjadą Szwedy.
#staneuro #POLSWE https://t.co/W2gWvoITyi",2021-06-24 21:33:59+00:00,"Vancouver, British Columbia",0,0,3,https://twitter.com/djendrju87/status/1408176601041281030
_Przemko,Skoro już 4 dni temu Anty-Midas zapowiadał wygraną to wszystko było jasne… #POLSWE #SWEPOL #Sasin https://t.co/oEDWLp0Rtm,2021-06-24 21:32:58+00:00,"Pruszków, Polska",0,0,70,https://twitter.com/_Przemko/status/1408176347860684804
Swiadomy86,"Podsumowanie #EURO2020 Nic dodać nic ująć 👍😁
#POLSWE #Euro2021 #Polska #polskaszwecja 
https://t.co/yrZqIYKIHB",2021-06-24 21:04:48+00:00,,0,0,3235,https://twitter.com/Swiadomy86/status/1408169256882221064
polczyk_foto,"@KwiatkowskiKuba już na spokojnie opowiedział o całej sytuacji na konferencji prasowej 😁
#strefaeuro #POLSWE https://t.co/fOzzhz2reQ https://t.co/ESBIcOKe8b",2021-06-24 21:03:29+00:00,,1,0,68,https://twitter.com/polczyk_foto/status/1408168928929628169
CzerwonyKat,"#2Grosze @wlodekczarzasty znowu pomylił się #POLSWE 😋 i z @LeszekMiller . Jedną z tych dwóch spraw można jeszcze załatwić i skrócić biało-czerwony męski zwis, bo w końcu prawdziwego mężczyznę poznaje się po tym jak kończy .",2021-06-24 20:21:26+00:00,"The Hague, The Netherlands",1,1,7223,https://twitter.com/CzerwonyKat/status/1408158345672921091
GSiemionczyk,"Przed meczem #POLSWE zrobiłem grupie sześciolatków test wiedzy. Kolory flagi Szwecji zgadli po podpowiedzi, że takie jak Ikea. A stolica?
Chłopiec: Oslo!
Ja: Blisko, to stolica Norwegii. Stolica Szwecji to Sztokholm.
Chłopiec: Nie wiedziałem, jestem słaby z ortografii.",2021-06-24 19:53:54+00:00,Warszawa,15,0,7271,https://twitter.com/GSiemionczyk/status/1408151415047008262
KulturaFizyczna,".@lewy_official dał z siebie wszystko, ale sam ze #SWE wygrać nie mógł. Odpadamy z @EURO2020. W @KulturaFizyczna podsumujemy ostatnie mecze grupowe. Zaczynamy o godz. 22:33 w Radiu 7.
#EURO2020 #Euro2021 #Euro #POLSWE #POL #SWEPOL @EURO2020 https://t.co/Q2Nlyg8IWY",2021-06-24 19:43:24+00:00,Polska,1,0,196,https://twitter.com/KulturaFizyczna/status/1408148775948926979
blackwhitexz,"Może jeszcze niech nasi się nie pakują @BoniekZibi jeszcze cos wymyśli 
#EURO2020 #POLSWE https://t.co/IDNOSWcksV",2021-06-24 19:33:12+00:00,,0,0,419,https://twitter.com/blackwhitexz/status/1408146206216396802
radkul86,"Mam problem z krytykowaniem przez byłych piłkarzy reprezentacji obecnych piłkarzy. Sami nic nie osiągnęli w reprezentacji ale jechać po innych to już potrafią. Taki Kosowski, Żewłakow no bez jaj! #POLSWE",2021-06-24 18:37:55+00:00,Łódzkie,19,0,3685,https://twitter.com/radkul86/status/1408132294762766338
ZStolicy,Mamy taką refleksję po wczorajszym meczu #POLSWE; Szpakowski brzmiał jakby roboty w Ikei szukał... zgadzacie się?,2021-06-24 18:37:40+00:00,Warszawa,6,0,10810,https://twitter.com/ZStolicy/status/1408132231604977669
JNizinkiewicz,"Jest dużo niezrozumiałych decyzji w kwestii obsadzania stanowiska trenera reprezentacji Polski. Mam nadzieję, że nowy prezes PZPN uporządkuje sytuację- @AdamBielan , @republikanie w #RZECZoPOLITYCE @rzeczpospolita.
#POLSWE #POL 
https://t.co/xx8l88l8oN",2021-06-24 17:55:12+00:00,Warszawa,7,1,75907,https://twitter.com/JNizinkiewicz/status/1408121542899286024
MscichowskiW,"@WojtaszekMarek Tutaj nie było i nie ma żadnej partyjki !
Tylko układ komuny na czerwone kijki...
#POLSWE #NieSzczepimySie @ZiobroPL",2021-06-24 17:51:02+00:00,"Warszawa, Polska",2,2,320,https://twitter.com/MscichowskiW/status/1408120497901117444
blackwhitexz,"Ej w ogóle zapomniałem że wczoraj trafiliśmy 3 bramki tylko był spalony kompletnie o tym zapomniałem 
#POLSWE",2021-06-24 17:43:57+00:00,,0,0,419,https://twitter.com/blackwhitexz/status/1408118712096464902
czerwonevino,hej realizuje/realizował ktoś z was INDYWIDUALNY PROGRAM LUB NAUKI? #rt #POLSWE #POL #PZPN #strefaeuro #FreeBritney #SWEPOL #MojeTwitteroweUrodziny #mojcrush #mojchłopak #mojadziewczyna #mójchłopak #AllStars6 #studia2021,2021-06-24 17:29:21+00:00,wish u were here,0,0,378,https://twitter.com/czerwonevino/status/1408115039190585344
olapolskaduma,Dzień po meczu a mi po myślach te ikeowce chodzą…dobrze że chociaż w skokach narciarskich nie mają z nami szans😎👍 #SWEPOL #POLSWE #EURO2020,2021-06-24 17:26:14+00:00,mujbiespopig fanpage,2,0,28,https://twitter.com/olapolskaduma/status/1408114255589687306
MTomecki,"Adam Szalai, zagrzewa swoich kolegòw do gry. Oceńcie sami. #POLSWE #EURO2020 https://t.co/3l5vChozAq",2021-06-24 17:03:44+00:00,,0,0,929,https://twitter.com/MTomecki/status/1408108590490075142
idzpodpradpl,Nasi wracają do domu. Dlaczego stoimy w miejscu? Dlaczego nie wyciągamy wniosków? DZIŚ 19:00 https://t.co/6Xm9xd7jX0 Dziennikarz sportowy #IPPTV @MateuszLis92 o występie naszych piłkarzy na #EURO2020 #POLSWE #SWEPOL #EURO2020  #Lewandowski https://t.co/x9okC2a0s5,2021-06-24 16:46:51+00:00,"Lublin, Polska",37,26,6456,https://twitter.com/idzpodpradpl/status/1408104342247329794
kaktus118,"Boniek ma zajebisty patent. Zaraz po jakimś wydarzeniu mówi, że jest za wcześnie żeby o tym mówić, bo trzeba przeanalizować, a jak pytanie wraca po czasie, to twierdzi, że nie ma o czym mówić, bo to już przeszłość.
#PZPN #POLSWE #SWEPOL",2021-06-24 16:46:32+00:00,"Poznań, Polska",0,0,11,https://twitter.com/kaktus118/status/1408104265604812808
matuszewski_ini,"Jako #PrawdaLiczb podajemy dalej noty InStat za mecz #POLSWE:

Lewandowski 405
Frankowski 314
Zieliński 306
Glik 301
Bednarek 300
Bereszyński 278
Krychowiak 274
Kozłowski 250
Szczęsny 240
Świderski 223
Płacheta 225
Klich 220
Puchacz 219
Jóźwiak 219
Świerczok 196

CC: @KoltonRoman https://t.co/luBckqgv1v",2021-06-24 15:56:45+00:00,"Warszawa, Polska",38,3,4934,https://twitter.com/matuszewski_ini/status/1408091736090550274
SuperbizPL,Parlamentarzyści nie specjalnie kryli się z oglądaniem meczu #POLSWE na #EURO2020 @se_pl https://t.co/ExmOz48NLx,2021-06-24 15:47:34+00:00,"Warszawa, Polska",1,1,1733,https://twitter.com/SuperbizPL/status/1408089423036698631
matuszewski_ini,"Jutro od 9 rano znowu pogadamy z @KoltonRoman i Jackiem Zielińskim o tym jaka jest prawda czasu, prawda ekranu, @PrawdaFutbolu i #PrawdaLiczb - a wszystko to w kontekście feralnego meczu #POLSWE // Polska - Szwecja, kończącego niestety nasz udział na #EURO2020. Zapraszam! 🙂 https://t.co/f3hXz2FGbK",2021-06-24 15:40:49+00:00,"Warszawa, Polska",2,0,4934,https://twitter.com/matuszewski_ini/status/1408087727086710792
KoltonRoman,"W radości i smutku - pasja 🇵🇱⚽️❤️ @PrawdaFutbolu #EURO2020 #prawdafutbolu dziś na „Prawdzie Futbolu” o 9.00 gościł Antoni Piechniczek, 19.00 @wichniarek18, jutro 9.00 Jacek Zieliński (60 A, MŚ 2002) i @matuszewski_ini - z #PrawdaLiczb po #POLSWE… Link https://t.co/4VA6agpzqQ https://t.co/WSmM3g1NcP",2021-06-24 15:27:26+00:00,Polska,48,3,377054,https://twitter.com/KoltonRoman/status/1408084358901153797
Mr_D91_,"@IwanowBozydar ewidentnie chce powtórkę z rozrywki z czasów eliminacji do ME w 2016roku. 
Za to jego aroganckie zachowanie. @wichniarek18 powinien zareagować jak @Dziekanowski10 w tamtym czasie. 
#POLSWE
#Boniek
#PotopSzwedzki
#EURO2020
#Sousa
#Lewandowski
https://t.co/V7h85cUOo5",2021-06-24 15:08:24+00:00,Polska,1,0,157,https://twitter.com/Mr_D91_/status/1408079569765216257
Martvnaa_,literally to byłam ja #POLSWE https://t.co/wVnNRyyGCT,2021-06-24 14:56:58+00:00,,0,0,316,https://twitter.com/Martvnaa_/status/1408076689297584128
Jaky64650386,Ej zaraz to będzie jeszcze jakiś mecz w euro #POLSWE #robercik,2021-06-24 14:43:20+00:00,,0,0,100,https://twitter.com/Jaky64650386/status/1408073259753492491
radkul86,"Szpakowski kiedy Szwedzi strzelili nam na 2:0 ""po meczu"". Jeśli chodzi o mnie do końca wierzyłem że wygrają i nie życzę sobie aby polski komentator mówił takie rzeczy prócz stosu innych bredni i bełkotu. #POLSWE #SWEPOL",2021-06-24 14:23:26+00:00,Łódzkie,27,1,3685,https://twitter.com/radkul86/status/1408068253226655757
AntonTramal,Nic się nie stało. Z Euro 2020 Polacy odpadli dopiero w 2021 roku! #POLSWE #SWEPOL #EURO2020 #tvpsport,2021-06-24 13:55:59+00:00,Strzegom,1,0,2,https://twitter.com/AntonTramal/status/1408061343094108160
TadlaAw,"Kto by pomyślał przed Euro, że jedyne punkty jakie zdobędziemy w grupie to w meczu z Hiszpanią #EURO2020 #POL #POLSWE",2021-06-24 13:52:35+00:00,,2,0,2,https://twitter.com/TadlaAw/status/1408060486063591424
PrzemekKaliski,"Powiało chłodem ze Szwecji 😂😂😂
#POLSWE #POL #EURO2020 https://t.co/b8VxAXEmUA",2021-06-24 13:51:10+00:00,Polska,2,1,322,https://twitter.com/PrzemekKaliski/status/1408060131430993923
kemot4slash,I co wy na to? !!! Głupio? #EURO2020 #POLSWE #POL #Memes #Sousa #Boniek #Pzpn @Polsport @Sportowy_Kanal @BorekMati https://t.co/zNGvioVRQZ,2021-06-24 13:11:04+00:00,POLSKA,7,0,101,https://twitter.com/kemot4slash/status/1408050039633612802
tadeuszowca,"Trafiony komentarz Koźmińskiego, zresztą po co mieszać znów w eliminacjach, niech popracuje Sususa i pokaże że nie tylko w ofensywie jest ok ale defensywa zacznie być stabilna i popełniać coraz mniej błędów.
#POLSWE #StrefaKibica #strefaeuro https://t.co/EMAv2QRemH",2021-06-24 13:07:05+00:00,Śląskie,1,0,99,https://twitter.com/tadeuszowca/status/1408049036725207041
kievo_Polska,"Kurwa,jak słyszę że w trenerze selekcjonerem najlepsze jest to że jest https://t.co/RmUU09H11M mam kilka tańszych opcji:Jan Urban,Tadeusz Pawłowski,Kazimierz Moskal...
#POLSWE #EURO2020",2021-06-24 13:00:12+00:00,Dziki kraj z dykty.,1,0,1133,https://twitter.com/kievo_Polska/status/1408047306537119748
PrzemekKaliski,"Wracają do wczorajszego balu ósmoklasisty, młodzież w chwilę po odtańczeniu Poloneza odpaliła transmisję online meczu #POLSWE 
Na zdjęciu reakcja, po stracie trzeciej bramki 😉
#EURO2020 #POL https://t.co/2baBKaJBwv",2021-06-24 12:59:45+00:00,Polska,4,0,322,https://twitter.com/PrzemekKaliski/status/1408047193550884867
KMetaKowalski,"Wstawaj Krycha, już po wszystkim. Można do domu. #EURO2020 #POLSWE https://t.co/fyPG42GGsQ",2021-06-24 12:56:09+00:00,,4,0,5205,https://twitter.com/KMetaKowalski/status/1408046286926983171
luvmycalivia,"jeżeli @KrystPawlow serio myślała, że szwedzcy piłkarze przyjadą i powiedzą ""macie, zabraliśmy wam 350 lat temu"", to robert lewandowski nie zagrał całego meczu sam.

#POLSWE",2021-06-24 12:51:14+00:00,,1,0,138,https://twitter.com/luvmycalivia/status/1408045050353930250
